topic_name,category_name,bundle_id,year,company,industry,country
Sustainable fishing,Supply chain and procurement practices,33032,2022,Austevoll Seafood ASA,Processed Foods,Norway
environmental protection,Environmental management,28535,2022,GEA Group Aktiengesellschaft,Processed Foods,Germany
Non-discrimination,"Diversity, equal opportunity and non-discrimination",25957,2022,Jaya Swarasa Agung TBK PT,Processed Foods,Indonesia
"Ethics, social responsibility",Corporate governance,39053,2023,Viciunai Group,Processed Foods,Lithuania
Traceability management,Supply chain and procurement practices,25466,2021,Hunya Foods Co Ltd,Processed Foods,Taiwan
Waste Management & Circular Economy,Material use and circular economy,38280,2024,Britannia Industries Ltd,Processed Foods,India
Security Practices,Data security and customer privacy,25957,2022,Jaya Swarasa Agung TBK PT,Processed Foods,Indonesia
Consumer Wellbeing,Other,43432,2022,Edita Food Industries SAE,Processed Foods,"Egypt, Arab Rep."
Prohibiting unfair trade practices,Anti-competitive behavior,28923,2022,Lotte Wellfood Co Ltd,Processed Foods,"Korea, Rep."
Energy resources,Energy,39053,2023,Viciunai Group,Processed Foods,Lithuania
Transparency,Corporate governance,20661,2022,"Post Holdings, Inc.",Processed Foods,United States
Employee Training and Development,"Training, education and development",46693,2023,QAF Ltd,Processed Foods,Singapore
Food Waste,Waste management,38422,2024,Bakkavor Group Plc,Processed Foods,United Kingdom
Reduce waste/ wastewater pollution,Water management,26550,2022,Natra SA,Processed Foods,Spain
Labor Practices,"Human rights, child labor, forced or compulsory labor",37973,2021,SunOpta Inc,Processed Foods,Canada
waste and industrial waste management,Waste management,29635,2019,Inarktika PAO,Processed Foods,Russian Federation
Freedom of Association and Collective Bargaining,Freedom of association and collective bargaining,19782,2020,Kellogg Company,Processed Foods,United States
Occupational Health Safety,Occupational health and safety,28535,2022,GEA Group Aktiengesellschaft,Processed Foods,Germany
Discrimination,"Diversity, equal opportunity and non-discrimination",39053,2023,Viciunai Group,Processed Foods,Lithuania
Rights of Indigenous Peoples,Local communities and rights of indigenous peoples,26522,2021,Brake Bros Ltd,Processed Foods,United Kingdom
Methane emissions reduction,Climate change and GHG emissions,56269,2023,Danone,Processed Foods,France
Environment,Environmental management,31788,2022,Glanbia plc,Processed Foods,Ireland
Improved nutrition,Access & affordability,38280,2024,Britannia Industries Ltd,Processed Foods,India
Training and education,"Training, education and development",29635,2019,Inarktika PAO,Processed Foods,Russian Federation
Engagement and Wellbeing,"Diversity, equal opportunity and non-discrimination",38421,2022,Bakkavor Group Plc,Processed Foods,United Kingdom
agricultural best practices,Other,54789,2022,SOVENA,Processed Foods,Portugal
The Community and the local area,Local communities and rights of indigenous peoples,24937,2021,La Doria SpA,Processed Foods,Italy
Operational control,Corporate governance,44869,2021,JC Comsa Corp,Processed Foods,Japan
Environmental and Social Responsibility,Other,18446,2023,Campbell Soup Company,Processed Foods,United States
Political contributions,Political influence and lobbying,28077,2019,Molson Coors Beverage Company,Processed Foods,United States
Emissions,Climate change and GHG emissions,19782,2020,Kellogg Company,Processed Foods,United States
Host community development,Local communities and rights of indigenous peoples,45919,2023,NASCON Allied Industries PLC,Processed Foods,Nigeria
Anti-competitive Behaviour,Anti-competitive behavior,26522,2021,Brake Bros Ltd,Processed Foods,United Kingdom
Diversity and inclusion,"Diversity, equal opportunity and non-discrimination",38280,2024,Britannia Industries Ltd,Processed Foods,India
Information Security,Data security and customer privacy,28535,2022,GEA Group Aktiengesellschaft,Processed Foods,Germany
Ethics and compliance,Corporate governance,28077,2019,Molson Coors Beverage Company,Processed Foods,United States
Food safety and quality,Product quality and safety,31814,2023,Nomad Foods Limited,Processed Foods,United Kingdom
Occupational Health and Safety,Occupational health and safety,19782,2020,Kellogg Company,Processed Foods,United States
Ethical business conduct,Corporate governance,31788,2022,Glanbia plc,Processed Foods,Ireland
Community development,Local communities and rights of indigenous peoples,43212,2022,Del Monte Pacific Ltd,Processed Foods,Philippines
Nutrition accessibility,Other,35166,2023,Vitasoy International Singapore Pte Ltd.,Processed Foods,Singapore
Data Privacy,Data security and customer privacy,37973,2021,SunOpta Inc,Processed Foods,Canada
Marketing and Labeling,Responsible marketing and labeling,25957,2022,Jaya Swarasa Agung TBK PT,Processed Foods,Indonesia
Equal Opportunities,"Diversity, equal opportunity and non-discrimination",26445,2020,Kerevitas Gida Sanayi ve Ticaret AS,Processed Foods,Turkiye
Health and safety,Occupational health and safety,33032,2022,Austevoll Seafood ASA,Processed Foods,Norway
Economic Performance,Economic performance,26522,2021,Brake Bros Ltd,Processed Foods,United Kingdom
Employee Health,Occupational health and safety,40143,2021,Saudia Dairy and Foodstuff Company,Processed Foods,Saudi Arabia
Ethics and integrity,Corporate governance,31067,2021,"Bimbo Bakeries USA, Inc.",Processed Foods,United States
Market Presence,Economic performance,26522,2021,Brake Bros Ltd,Processed Foods,United Kingdom
Climate change,Climate change and GHG emissions,31788,2022,Glanbia plc,Processed Foods,Ireland
Talent Management,Employee attraction and retention,43212,2022,Del Monte Pacific Ltd,Processed Foods,Philippines
Operational Responsibility,Corporate governance,20661,2022,"Post Holdings, Inc.",Processed Foods,United States
Resource efficiency,Material use and circular economy,33032,2022,Austevoll Seafood ASA,Processed Foods,Norway
Biodiversity,Biodiversity,26445,2020,Kerevitas Gida Sanayi ve Ticaret AS,Processed Foods,Turkiye
Customer Health and Safety,Customer health and safety,19782,2020,Kellogg Company,Processed Foods,United States
Anti-corruption,Anti-corruption,47686,2024,Tara Health Foods Ltd,Processed Foods,India
Discrimination prohibition,"Diversity, equal opportunity and non-discrimination",27777,2023,Unicharm Petcare Corp,Processed Foods,Japan
Psychological safety,Occupational health and safety,39053,2023,Viciunai Group,Processed Foods,Lithuania
Fertiliser and Pesticide Use,Environmental management,43212,2022,Del Monte Pacific Ltd,Processed Foods,Philippines
Reforestation efforts,Biodiversity,59259,2024,Denis Asia Pacific Pte Ltd,Processed Foods,Singapore
Colleague Wellbeing,Employee attraction and retention,38422,2024,Bakkavor Group Plc,Processed Foods,United Kingdom
Anti-corruption policies and practices,Anti-corruption,45919,2023,NASCON Allied Industries PLC,Processed Foods,Nigeria
wildlife,Biodiversity,54401,2021,PT. WILTON MAKMUR INDONESIA Tbk.,Processed Foods,Indonesia
Anti-corruption,Anti-corruption,19782,2020,Kellogg Company,Processed Foods,United States
Human rights,"Human rights, child labor, forced or compulsory labor",43432,2022,Edita Food Industries SAE,Processed Foods,"Egypt, Arab Rep."
Energy Consumption,Energy,28535,2022,GEA Group Aktiengesellschaft,Processed Foods,Germany
Transportation,Climate change and GHG emissions,28535,2022,GEA Group Aktiengesellschaft,Processed Foods,Germany
Product and customer centrality,Corporate governance,24937,2021,La Doria SpA,Processed Foods,Italy
Food Waste,Waste management,38421,2022,Bakkavor Group Plc,Processed Foods,United Kingdom
Innovating healthier products,Innovation and R&D,31067,2021,"Bimbo Bakeries USA, Inc.",Processed Foods,United States
Employee wellbeing,Employee attraction and retention,31788,2022,Glanbia plc,Processed Foods,Ireland
Responsible nutrition,Access & affordability,31788,2022,Glanbia plc,Processed Foods,Ireland
Sustainable Packaging,Material use and circular economy,20661,2022,"Post Holdings, Inc.",Processed Foods,United States
Better Operations,Economic performance,31814,2023,Nomad Foods Limited,Processed Foods,United Kingdom
Product nutrition,Product quality and safety,35166,2023,Vitasoy International Singapore Pte Ltd.,Processed Foods,Singapore
Sustainable Development Goals,Other,45919,2023,NASCON Allied Industries PLC,Processed Foods,Nigeria
Animal wellbeing,Animal welfare & testing,38273,2021,Barilla,Processed Foods,Italy
Emission reductions,Climate change and GHG emissions,59259,2024,Denis Asia Pacific Pte Ltd,Processed Foods,Singapore
Anti-corruption policies,Anti-corruption,43432,2022,Edita Food Industries SAE,Processed Foods,"Egypt, Arab Rep."
CSR and Philanthropy,Other,43212,2022,Del Monte Pacific Ltd,Processed Foods,Philippines
Climate change mitigation,Climate change and GHG emissions,25466,2021,Hunya Foods Co Ltd,Processed Foods,Taiwan
Local emissions,Climate change and GHG emissions,33032,2022,Austevoll Seafood ASA,Processed Foods,Norway
Energy and resource efficiency,Material use and circular economy,25466,2021,Hunya Foods Co Ltd,Processed Foods,Taiwan
Air quality,Air pollution,39053,2023,Viciunai Group,Processed Foods,Lithuania
Employee Engagement,Employee attraction and retention,43212,2022,Del Monte Pacific Ltd,Processed Foods,Philippines
Cybersecurity,Data security and customer privacy,39053,2023,Viciunai Group,Processed Foods,Lithuania
Minimum wage compliance,Employee attraction and retention,27777,2023,Unicharm Petcare Corp,Processed Foods,Japan
Talent Acquisition,Employee attraction and retention,28535,2022,GEA Group Aktiengesellschaft,Processed Foods,Germany
Certified RSPO segregated,Material use and circular economy,56269,2023,Danone,Processed Foods,France
Brand value and trust,Corporate governance,38280,2024,Britannia Industries Ltd,Processed Foods,India
Resources Management,Environmental management,59259,2024,Denis Asia Pacific Pte Ltd,Processed Foods,Singapore
Responsible procurement,Supply chain and procurement practices,24937,2021,La Doria SpA,Processed Foods,Italy
Competitiveness,Economic performance,44869,2021,JC Comsa Corp,Processed Foods,Japan
Market Presence,Economic performance,19782,2020,Kellogg Company,Processed Foods,United States
Waste and water,Water management,31814,2023,Nomad Foods Limited,Processed Foods,United Kingdom
Dividends,Economic performance,40143,2021,Saudia Dairy and Foodstuff Company,Processed Foods,Saudi Arabia
Strengthening employee capabilities,"Training, education and development",28923,2022,Lotte Wellfood Co Ltd,Processed Foods,"Korea, Rep."
Customer relations management,Corporate governance,25466,2021,Hunya Foods Co Ltd,Processed Foods,Taiwan
Transparency and corruption prevention,Anti-corruption,39053,2023,Viciunai Group,Processed Foods,Lithuania
Ethical business practices,Corporate governance,33032,2022,Austevoll Seafood ASA,Processed Foods,Norway
Procurement practices,Supply chain and procurement practices,33832,2023,AGV PRODUCTS CORP.,Processed Foods,Taiwan
Occupational health and safety,Occupational health and safety,38273,2021,Barilla,Processed Foods,Italy
Better Packaging,Material use and circular economy,59259,2024,Denis Asia Pacific Pte Ltd,Processed Foods,Singapore
economic issues,Economic performance,28077,2019,Molson Coors Beverage Company,Processed Foods,United States
Empowerment of young people,Other,45919,2023,NASCON Allied Industries PLC,Processed Foods,Nigeria
Child labor,"Human rights, child labor, forced or compulsory labor",39053,2023,Viciunai Group,Processed Foods,Lithuania
Biodiversity,Biodiversity,26522,2021,Brake Bros Ltd,Processed Foods,United Kingdom
Better Sourcing,Supply chain and procurement practices,31814,2023,Nomad Foods Limited,Processed Foods,United Kingdom
Healthier food choices,Access & affordability,56269,2023,Danone,Processed Foods,France
Water management,Water management,44869,2021,JC Comsa Corp,Processed Foods,Japan
Strategic social contributions,Other,28923,2022,Lotte Wellfood Co Ltd,Processed Foods,"Korea, Rep."
Freedom of association,Freedom of association and collective bargaining,26550,2022,Natra SA,Processed Foods,Spain
Strategic human resources planning,Employee attraction and retention,28923,2022,Lotte Wellfood Co Ltd,Processed Foods,"Korea, Rep."
greenhouse gas emissions,Climate change and GHG emissions,56269,2023,Danone,Processed Foods,France
Supplier Environmental Assessment,Supply chain and procurement practices,26522,2021,Brake Bros Ltd,Processed Foods,United Kingdom
Safe Working Environment,Occupational health and safety,39241,2024,Hosen Group Ltd,Processed Foods,Singapore
Greenhouse gas emissions,Climate change and GHG emissions,33976,2022,Four Seas Mercantile Holdings Ltd,Processed Foods,"Hong Kong SAR, China"
Food safety,Product quality and safety,38430,2023,Utz Brands Inc,Processed Foods,United States
Acoustic impact,Environmental management,44869,2021,JC Comsa Corp,Processed Foods,Japan
Greenhouse gases,Climate change and GHG emissions,31814,2023,Nomad Foods Limited,Processed Foods,United Kingdom
Regenerative agriculture,Biodiversity,56269,2023,Danone,Processed Foods,France
Long-term sustainable partnerships,Other,31788,2022,Glanbia plc,Processed Foods,Ireland
Employee safety and health,Occupational health and safety,39053,2023,Viciunai Group,Processed Foods,Lithuania
Anti-bribery,Anti-corruption,47686,2024,Tara Health Foods Ltd,Processed Foods,India
Sustainable products packaging,Material use and circular economy,31788,2022,Glanbia plc,Processed Foods,Ireland
Criminal risks,Anti-corruption,44869,2021,JC Comsa Corp,Processed Foods,Japan
Labor and Human Rights,"Human rights, child labor, forced or compulsory labor",37973,2021,SunOpta Inc,Processed Foods,Canada
Freedom of Association and Collective Bargaining,Freedom of association and collective bargaining,26522,2021,Brake Bros Ltd,Processed Foods,United Kingdom
Ethics and Compliance,Corporate governance,20661,2022,"Post Holdings, Inc.",Processed Foods,United States
Supply chain ESG risk management,Supply chain and procurement practices,28923,2022,Lotte Wellfood Co Ltd,Processed Foods,"Korea, Rep."
Local Communities,Local communities and rights of indigenous peoples,25957,2022,Jaya Swarasa Agung TBK PT,Processed Foods,Indonesia
Environmental responsibility,Environmental management,28077,2019,Molson Coors Beverage Company,Processed Foods,United States
Occupational health and safety,Occupational health and safety,33976,2022,Four Seas Mercantile Holdings Ltd,Processed Foods,"Hong Kong SAR, China"
Effluents and Waste,Water management,26522,2021,Brake Bros Ltd,Processed Foods,United Kingdom
Engagement and Wellbeing,"Diversity, equal opportunity and non-discrimination",38422,2024,Bakkavor Group Plc,Processed Foods,United Kingdom
Waste Management & Circular Economy,Waste management,38280,2024,Britannia Industries Ltd,Processed Foods,India
Socioeconomic Compliance,Other,25957,2022,Jaya Swarasa Agung TBK PT,Processed Foods,Indonesia
Effluents and Waste,Waste management,26522,2021,Brake Bros Ltd,Processed Foods,United Kingdom
Product quality and safety,Product quality and safety,38273,2021,Barilla,Processed Foods,Italy
Food quality and safety,Product quality and safety,39241,2024,Hosen Group Ltd,Processed Foods,Singapore
Efficient production,Economic performance,40143,2021,Saudia Dairy and Foodstuff Company,Processed Foods,Saudi Arabia
Corporate Governance,Corporate governance,25466,2021,Hunya Foods Co Ltd,Processed Foods,Taiwan
Health and Safety,Occupational health and safety,38421,2022,Bakkavor Group Plc,Processed Foods,United Kingdom
Integrity,Corporate governance,38273,2021,Barilla,Processed Foods,Italy
Climate and Energy,Climate change and GHG emissions,20661,2022,"Post Holdings, Inc.",Processed Foods,United States
Child Labor,"Human rights, child labor, forced or compulsory labor",25957,2022,Jaya Swarasa Agung TBK PT,Processed Foods,Indonesia
Equal opportunity,"Diversity, equal opportunity and non-discrimination",33976,2022,Four Seas Mercantile Holdings Ltd,Processed Foods,"Hong Kong SAR, China"
Waste management,Waste management,30725,2022,Zhongxin Fruit and Juice Ltd,Processed Foods,Singapore
Relationship with the community,Local communities and rights of indigenous peoples,44869,2021,JC Comsa Corp,Processed Foods,Japan
Customer Privacy,Data security and customer privacy,19782,2020,Kellogg Company,Processed Foods,United States
"Water, waste and effluents",Waste management,45919,2023,NASCON Allied Industries PLC,Processed Foods,Nigeria
climate change,Climate change and GHG emissions,23555,2023,Delfi Ltd,Processed Foods,Singapore
Governance,Corporate governance,38273,2021,Barilla,Processed Foods,Italy
Indirect Economic Impacts,Economic performance,25957,2022,Jaya Swarasa Agung TBK PT,Processed Foods,Indonesia
Waste,Waste management,43432,2022,Edita Food Industries SAE,Processed Foods,"Egypt, Arab Rep."
Addressing malnutrition,Access & affordability,38280,2024,Britannia Industries Ltd,Processed Foods,India
Energy efficiency,Energy,29635,2019,Inarktika PAO,Processed Foods,Russian Federation
Sustainable and Healthier Products,Product quality and safety,38422,2024,Bakkavor Group Plc,Processed Foods,United Kingdom
responsible sourcing,Supply chain and procurement practices,35166,2023,Vitasoy International Singapore Pte Ltd.,Processed Foods,Singapore
Diversity and inclusion,"Diversity, equal opportunity and non-discrimination",43432,2022,Edita Food Industries SAE,Processed Foods,"Egypt, Arab Rep."
Human Capital and Corporate Expertise,Corporate governance,24937,2021,La Doria SpA,Processed Foods,Italy
Tax,Tax,25957,2022,Jaya Swarasa Agung TBK PT,Processed Foods,Indonesia
Business Ethics,Corporate governance,37973,2021,SunOpta Inc,Processed Foods,Canada
Talent managenemt,Employee attraction and retention,26445,2020,Kerevitas Gida Sanayi ve Ticaret AS,Processed Foods,Turkiye
Energy consumption,Energy,33032,2022,Austevoll Seafood ASA,Processed Foods,Norway
Climate Change Adaptation,Risk management,43212,2022,Del Monte Pacific Ltd,Processed Foods,Philippines
Water and Effluents,Water management,25957,2022,Jaya Swarasa Agung TBK PT,Processed Foods,Indonesia
Employee Satisfaction,Employee attraction and retention,37973,2021,SunOpta Inc,Processed Foods,Canada
Climate and Net Zero,Climate change and GHG emissions,38421,2022,Bakkavor Group Plc,Processed Foods,United Kingdom
Employee development,"Training, education and development",26550,2022,Natra SA,Processed Foods,Spain
water quality,Water management,54401,2021,PT. WILTON MAKMUR INDONESIA Tbk.,Processed Foods,Indonesia
Sustainable and Healthier Products,Product quality and safety,38421,2022,Bakkavor Group Plc,Processed Foods,United Kingdom
Stakeholder communication,Corporate governance,26445,2020,Kerevitas Gida Sanayi ve Ticaret AS,Processed Foods,Turkiye
development,Other,29635,2019,Inarktika PAO,Processed Foods,Russian Federation
Integrity,Corporate governance,44869,2021,JC Comsa Corp,Processed Foods,Japan
Human rights,"Human rights, child labor, forced or compulsory labor",31067,2021,"Bimbo Bakeries USA, Inc.",Processed Foods,United States
Equal opportunities,"Diversity, equal opportunity and non-discrimination",38422,2024,Bakkavor Group Plc,Processed Foods,United Kingdom
Contribution to economic development,Economic performance,40143,2021,Saudia Dairy and Foodstuff Company,Processed Foods,Saudi Arabia
Responsible Marketing,Responsible marketing and labeling,20661,2022,"Post Holdings, Inc.",Processed Foods,United States
Transparent and clear information,Other,31067,2021,"Bimbo Bakeries USA, Inc.",Processed Foods,United States
environmental impacts,Environmental management,29635,2019,Inarktika PAO,Processed Foods,Russian Federation
Gender balance management,"Diversity, equal opportunity and non-discrimination",56269,2023,Danone,Processed Foods,France
Working conditions,Occupational health and safety,39053,2023,Viciunai Group,Processed Foods,Lithuania
Improving livelihoods,Other,45997,2024,Nestle Pakistan Ltd,Processed Foods,Pakistan
Child labour,"Human rights, child labor, forced or compulsory labor",45919,2023,NASCON Allied Industries PLC,Processed Foods,Nigeria
Energy management,Energy,26550,2022,Natra SA,Processed Foods,Spain
Land and Resource Availability,Biodiversity,43212,2022,Del Monte Pacific Ltd,Processed Foods,Philippines
Socio- Economic Prosperity,Other,38280,2024,Britannia Industries Ltd,Processed Foods,India
Renewable energy,Energy,31067,2021,"Bimbo Bakeries USA, Inc.",Processed Foods,United States
Reliability and affordability,Other,38280,2024,Britannia Industries Ltd,Processed Foods,India
social risks,Other,35166,2023,Vitasoy International Singapore Pte Ltd.,Processed Foods,Singapore
Market share,Economic performance,40143,2021,Saudia Dairy and Foodstuff Company,Processed Foods,Saudi Arabia
motivation,Other,29635,2019,Inarktika PAO,Processed Foods,Russian Federation
Employment,Employee attraction and retention,26522,2021,Brake Bros Ltd,Processed Foods,United Kingdom
Child Labor,"Human rights, child labor, forced or compulsory labor",26522,2021,Brake Bros Ltd,Processed Foods,United Kingdom
Water and Effluents,Water management,26522,2021,Brake Bros Ltd,Processed Foods,United Kingdom
Animal Welfare,Animal welfare & testing,20661,2022,"Post Holdings, Inc.",Processed Foods,United States
Water resource management,Water management,39053,2023,Viciunai Group,Processed Foods,Lithuania
Non-discrimination,"Diversity, equal opportunity and non-discrimination",45919,2023,NASCON Allied Industries PLC,Processed Foods,Nigeria
Child Labor,"Human rights, child labor, forced or compulsory labor",19782,2020,Kellogg Company,Processed Foods,United States
Employee development well-being,"Training, education and development",38430,2023,Utz Brands Inc,Processed Foods,United States
Supplier environmental performance,Supply chain and procurement practices,29635,2019,Inarktika PAO,Processed Foods,Russian Federation
Community Involvement,Local communities and rights of indigenous peoples,37973,2021,SunOpta Inc,Processed Foods,Canada
Labor-management harmony,Employee attraction and retention,33832,2023,AGV PRODUCTS CORP.,Processed Foods,Taiwan
Biodiversity,Biodiversity,35166,2023,Vitasoy International Singapore Pte Ltd.,Processed Foods,Singapore
Local Communities,Local communities and rights of indigenous peoples,26522,2021,Brake Bros Ltd,Processed Foods,United Kingdom
Occupational Health and Safety,Occupational health and safety,25957,2022,Jaya Swarasa Agung TBK PT,Processed Foods,Indonesia
Anti-competitive Behaviour,Anti-competitive behavior,25957,2022,Jaya Swarasa Agung TBK PT,Processed Foods,Indonesia
human rights,"Human rights, child labor, forced or compulsory labor",29635,2019,Inarktika PAO,Processed Foods,Russian Federation
Responsible Information Management,Data security and customer privacy,38280,2024,Britannia Industries Ltd,Processed Foods,India
Employee wellbeing and satisfaction,Employee attraction and retention,45919,2023,NASCON Allied Industries PLC,Processed Foods,Nigeria
Growth,Other,40143,2021,Saudia Dairy and Foodstuff Company,Processed Foods,Saudi Arabia
Responsible procurement,Corporate governance,24937,2021,La Doria SpA,Processed Foods,Italy
Forced labour,"Human rights, child labor, forced or compulsory labor",38421,2022,Bakkavor Group Plc,Processed Foods,United Kingdom
Environmentally sound production practices,Environmental management,40143,2021,Saudia Dairy and Foodstuff Company,Processed Foods,Saudi Arabia
Ethnicity pay gap,"Diversity, equal opportunity and non-discrimination",38422,2024,Bakkavor Group Plc,Processed Foods,United Kingdom
Energy Consumption,Energy,43432,2022,Edita Food Industries SAE,Processed Foods,"Egypt, Arab Rep."
water impact assessment,Water management,20661,2022,"Post Holdings, Inc.",Processed Foods,United States
Human rights,"Human rights, child labor, forced or compulsory labor",47686,2024,Tara Health Foods Ltd,Processed Foods,India
Cybersecurity,Data security and customer privacy,37973,2021,SunOpta Inc,Processed Foods,Canada
Waste and Water,Waste management,38430,2023,Utz Brands Inc,Processed Foods,United States
Employee Development and Retention,Employee attraction and retention,37973,2021,SunOpta Inc,Processed Foods,Canada
Climate change and GHG emissions,Climate change and GHG emissions,31814,2023,Nomad Foods Limited,Processed Foods,United Kingdom
Marketing and Labeling,Responsible marketing and labeling,19782,2020,Kellogg Company,Processed Foods,United States
Energy,Energy,25957,2022,Jaya Swarasa Agung TBK PT,Processed Foods,Indonesia
Circular Economy,Material use and circular economy,26445,2020,Kerevitas Gida Sanayi ve Ticaret AS,Processed Foods,Turkiye
Colleague Wellbeing,Employee attraction and retention,38421,2022,Bakkavor Group Plc,Processed Foods,United Kingdom
Human Rights Assessment,"Human rights, child labor, forced or compulsory labor",19782,2020,Kellogg Company,Processed Foods,United States
Protect biodiversity,Biodiversity,26550,2022,Natra SA,Processed Foods,Spain
Supply chain engagement and relations,Supply chain and procurement practices,45919,2023,NASCON Allied Industries PLC,Processed Foods,Nigeria
Whistleblower Program,Corporate governance,37973,2021,SunOpta Inc,Processed Foods,Canada
Integrity,Corporate governance,22680,2019,Ebro Foods SA,Processed Foods,Spain
Responsible marketing and labeling,Responsible marketing and labeling,25466,2021,Hunya Foods Co Ltd,Processed Foods,Taiwan
Food safety,Product quality and safety,54789,2022,SOVENA,Processed Foods,Portugal
Community Health & Nutrition,Access & affordability,38280,2024,Britannia Industries Ltd,Processed Foods,India
Empowering communities,Other,54789,2022,SOVENA,Processed Foods,Portugal
Traceability and transparency,Supply chain and procurement practices,38273,2021,Barilla,Processed Foods,Italy
Training and Education,"Training, education and development",26522,2021,Brake Bros Ltd,Processed Foods,United Kingdom
Freedom of association,Freedom of association and collective bargaining,38421,2022,Bakkavor Group Plc,Processed Foods,United Kingdom
Biodiversity,Biodiversity,31788,2022,Glanbia plc,Processed Foods,Ireland
Migrant labour,Other,38421,2022,Bakkavor Group Plc,Processed Foods,United Kingdom
Environment-friendly products,Material use and circular economy,31067,2021,"Bimbo Bakeries USA, Inc.",Processed Foods,United States
Supply Chain Sustainability,Supply chain and procurement practices,59259,2024,Denis Asia Pacific Pte Ltd,Processed Foods,Singapore
Diversity and Inclusion,"Diversity, equal opportunity and non-discrimination",43212,2022,Del Monte Pacific Ltd,Processed Foods,Philippines
Regulatory approvals and compliance,Compliance with laws and regulations,45919,2023,NASCON Allied Industries PLC,Processed Foods,Nigeria
livelihoods of local communities,Local communities and rights of indigenous peoples,54401,2021,PT. WILTON MAKMUR INDONESIA Tbk.,Processed Foods,Indonesia
Carbon compensation,Climate change and GHG emissions,59259,2024,Denis Asia Pacific Pte Ltd,Processed Foods,Singapore
Employee compensation and benefits,Employee attraction and retention,45919,2023,NASCON Allied Industries PLC,Processed Foods,Nigeria
Green Logistics,Risk management,28535,2022,GEA Group Aktiengesellschaft,Processed Foods,Germany
Employee health safety,Occupational health and safety,31788,2022,Glanbia plc,Processed Foods,Ireland
